Review Text,Rating,Rating_Sentiment,preprocess_text,vader_scores,vader_polarity,vader_sentiment,neg,neu,pos,compound,roberta_polarity,roberta_sentiment
Absolutely wonderful - silky and sexy and comfortable,4,positive,absolutely wonderful silky and sexy and comfortable,"{'neg': 0.0, 'neu': 0.272, 'pos': 0.728, 'compound': 0.8932}",0.8932,Positive,0.0,0.272,0.728,0.8932,0.62184024,Positive
"Love this dress!  it's sooo pretty.  i happened to find it in a store, and i'm glad i did bc i never would have ordered it online bc it's petite.  i bought a petite and am 5'8"".  i love the length on me- hits just a little below the knee.  would definitely be a true midi on someone who is truly petite.",5,positive,love this dress its sooo pretty i happened to find it in a store and im glad i did bc i never would have ordered it online bc its petite i bought a petite and am i love the length on me hits just a little below the knee would definitely be a true midi on someone who is truly petite,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.9719}",0.9719,Positive,0.0,0.662,0.338,0.9719,0.32569072,Positive
"I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c",3,neutral,i had such high hopes for this dress and really wanted it to work for me i initially ordered the petite small my usual size but i found this to be outrageously small so small in fact that i could not zip it up i reordered it in petite medium which was just ok overall the top half was comfortable and fit nicely but the bottom half had a very tight under layer and several somewhat cheap net over layers imo a major design flaw was the net over layer sewn directly into the zipper it c,"{'neg': 0.027, 'neu': 0.794, 'pos': 0.179, 'compound': 0.9398}",0.9398,Positive,0.027,0.794,0.179,0.9398,0.15084012,Neutral
"I love, love, love this jumpsuit. it's fun, flirty, and fabulous! every time i wear it, i get nothing but great compliments!",5,positive,i love love love this jumpsuit its fun flirty and fabulous every time i wear it i get nothing but great compliments,"{'neg': 0.231, 'neu': 0.346, 'pos': 0.423, 'compound': 0.4805}",0.4805,Positive,0.231,0.346,0.423,0.4805,0.18967499,Neutral
This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!,5,positive,this shirt is very flattering to all due to the adjustable front tie it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan love this shirt,"{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.9162}",0.9162,Positive,0.0,0.713,0.287,0.9162,0.2793713,Positive
"I love tracy reese dresses, but this one is not for the very petite. i am just under 5 feet tall and usually wear a 0p in this brand. this dress was very pretty out of the package but its a lot of dress. the skirt is long and very full so it overwhelmed my small frame. not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",2,negative,i love tracy reese dresses but this one is not for the very petite i am just under feet tall and usually wear a p in this brand this dress was very pretty out of the package but its a lot of dress the skirt is long and very full so it overwhelmed my small frame not a stranger to alterations shortening and narrowing the skirt would take away from the embellishment of the garment i love the color and the idea of the style but it just did not work on me i returned this dress,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.9419}",0.9419,Positive,0.0,0.851,0.149,0.9419,0.14790706,Neutral
"I aded this in my basket at hte last mintue to see what it would look like in person. (store pick up). i went with teh darkler color only because i am so pale :-) hte color is really gorgeous, and turns out it mathced everythiing i was trying on with it prefectly. it is a little baggy on me and hte xs is hte msallet size (bummer, no petite). i decided to jkeep it though, because as i said, it matvehd everything. my ejans, pants, and the 3 skirts i waas trying on (of which i ]kept all ) oops.",5,positive,i aded this in my basket at hte last mintue to see what it would look like in person store pick up i went with teh darkler color only because i am so pale hte color is really gorgeous and turns out it mathced everythiing i was trying on with it prefectly it is a little baggy on me and hte xs is hte msallet size bummer no petite i decided to jkeep it though because as i said it matvehd everything my ejans pants and the skirts i waas trying on of which i kept all oops,"{'neg': 0.05, 'neu': 0.88, 'pos': 0.07, 'compound': 0.4576}",0.4576,Positive,0.05,0.88,0.07,0.4576,0.019997334,Neutral
"I ordered this in carbon for store pick up, and had a ton of stuff (as always) to try on and used this top to pair (skirts and pants). everything went with it. the color is really nice charcoal with shimmer, and went well with pencil skirts, flare pants, etc. my only compaint is it is a bit big, sleeves are long and it doesn't go in petite. also a bit loose for me, but no xxs... so i kept it and wil ldecide later since the light color is already sold out in hte smallest size...",4,positive,i ordered this in carbon for store pick up and had a ton of stuff as always to try on and used this top to pair skirts and pants everything went with it the color is really nice charcoal with shimmer and went well with pencil skirts flare pants etc my only compaint is it is a bit big sleeves are long and it doesnt go in petite also a bit loose for me but no xxs so i kept it and wil ldecide later since the light color is already sold out in hte smallest size,"{'neg': 0.046, 'neu': 0.901, 'pos': 0.053, 'compound': -0.0909}",-0.0909,Neutral,0.046,0.901,0.053,-0.0909,0.0069998847,Neutral
I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.,5,positive,i love this dress i usually get an xs but it runs a little snug in bust so i ordered up a size very flattering and feminine with the usual retailer flair for style,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7175}",0.7175,Positive,0.0,0.818,0.182,0.7175,0.18001674,Neutral
"I'm 5""5' and 125 lbs. i ordered the s petite to make sure the length wasn't too long. i typically wear an xs regular in retailer dresses. if you're less busty (34b cup or smaller), a s petite will fit you perfectly (snug, but not tight). i love that i could dress it up for a party, or down for work. i love that the tulle is longer then the fabric underneath.",5,positive,im and lbs i ordered the s petite to make sure the length wasnt too long i typically wear an xs regular in retailer dresses if youre less busty b cup or smaller a s petite will fit you perfectly snug but not tight i love that i could dress it up for a party or down for work i love that the tulle is longer then the fabric underneath,"{'neg': 0.125, 'neu': 0.743, 'pos': 0.131, 'compound': -0.3724}",-0.3724,Negative,0.125,0.743,0.131,-0.3724,0.005999925,Neutral
